Name,,,Principal,Phone Number,Email
"PankajakasthuriCollegeofEngineeringandTechnology,Thiruvananthapuram(PKE)",code_set.php?code=UEtF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=UEtF,-,-,-
,,,,,
"PinnacleSchoolofEngineeringandTechnology,Kollam(PNC)",code_set.php?code=UE5D,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=UE5D,DR.THYAGARAJAN,4752273300,info@pinnacle.ac.in
,,,,,
"ProvidenceCollegeofEngineering,Chengannur(PRC)",code_set.php?code=UFJD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=UFJD,DRSANTHOSHPMATHEW,4792451084,santhosh.m@providencecollege.org
,,,,,
"PRSCollegeofEngineeringandTechnology,Thiruvananthapuram(PRS)",code_set.php?code=UFJT,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=UFJT,DR.RAVEENDRANPILLAIB,4712257160,prs.principal@yahoo.in
,,,,,
"RoyalCollegeofEngineeringandTechnology,Thrissur(RCE)",code_set.php?code=UkNF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=UkNF,DR.SPSUBRAMANIAN,4885289009,principal@royalcet.ac.in
,,,,,
"RajagiriSchoolofEngineeringandTechnology,Ernakulam(RET)",code_set.php?code=UkVU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=UkVU,DR.A.UNNIKRISHNAN,4842660999,office@rajagiritech.edu.in
,,,,,
"RajadhaniInstituteofEngineeringandTechnology,Thiruvananthapuram(RIE)",code_set.php?code=UklF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=UklF,DR.RSATHIKUMAR,7025177773,principal@riet.edu.in
,,,,,
"SreeBuddhaCollegeofEngineering,Alappuzha(SBC)",code_set.php?code=U0JD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U0JD,DR.SSURESHBABU,4792375440,drssbtkm@gmail.com
,,,,,
"SreeBuddhaCollegeofEngineering,Pathanamthitta(SBW)",code_set.php?code=U0JX,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U0JX,DRSOMISEBASTIAN,4682258100,somiseb@gmail.com
,,,,,
"SCMSSchoolofEngineeringandTechnology,Ernakulam(SCM)",code_set.php?code=U0NN,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U0NN,DR.PRAVEENSALCJ,4842450507,praveensal@scmsgroup.org
,,,,,
"St.GregoriosCollegeofEngineering,Kasargod(SGP)",code_set.php?code=U0dQ,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U0dQ,-,-,-
,,,,,
"SadguruSwamiNithyanandaInsitituteofTechnology,Kasaragod(SGT)",code_set.php?code=U0dU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U0dU,DRBNSHANTHAPRIYA,4672200602,drshanthapriya@gmail.com
,,,,,
"ShahulHameedMemorialEngineeringCollege,Kollam(SHM)",code_set.php?code=U0hN,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U0hN,DRMORRISC,4742424900,shmenggcollege@gmail.com
,,,,,
"SahrdayaCollegeofEngineeringandTechnology,Thrissur(SHR)",code_set.php?code=U0hS,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U0hS,DR.NIXONKURUVILA,4802759275,principal@sahrdaya.ac.in
,,,,,
"SarabhaiInstituteofScienceandTechnology,Thiruvananthapuram(SIT)",code_set.php?code=U0lU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U0lU,DR.G.PAVITHRAN,4722884448,drgpavithran@gmail.com
,,,,,
"StJosephsCollegeofEngineeringandTechnology,Palai(SJC)",code_set.php?code=U0pD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U0pD,DR.J.DAVID,4822239777,principal@sjcetpalai.ac.in
,,,,,
"SreeNarayanaGuruCollegeofEngineeringandTechnology,Kannur(SNC)",code_set.php?code=U05D,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U05D,DR.V.KJANARDANAN,4985201987,principal.sngcet@gmail.com
,,,,,
"SreeNarayanaGurukulamCollegeofEngineering,Ernakulam(SNG)",code_set.php?code=U05H,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U05H,DR.KEMTHOSEPPAUL,4842597801,principal.sngce@gmail.com
,,,,,
"SNMInstituteofManagementandTechnology,Ernakulam(SNM)",code_set.php?code=U05N,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U05N,DR.SURESHKUMARV,4842484142,info@snmimt.edu.in
,,,,,
"SreeNarayanaInstituteofTechnology,Adoor(SNP)",code_set.php?code=U05Q,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U05Q,DR.J.GEORGECHELLINCHANDRAN,4734244700,principal@snit.edu.in
,,,,,
"SreeNarayanaGuruInstituteofScienceandTechnology,Ernakulam(SNT)",code_set.php?code=U05U,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U05U,DR.SIVANANDAN.M.,4842887000,drsiva@sngist.org
,,,,,
"0SreepathyInstituteofManagementandTechnology,Palakkad(SPT)",code_set.php?code=U1BU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U1BU,DR.KKBABU,4662371400,principal@simat.ac.in
,,,,,
"1StThomasColllegeofEngineeringandTechnology,Alappuzha(STC)",code_set.php?code=U1RD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U1RD,DR.SANTHOSHSIMON,4792369994,info@stcet.net
,,,,,
"2St.ThomasInstituteForScienceandTechnology,Thiruvananthapuram(STI)",code_set.php?code=U1RJ,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U1RJ,DR.USHATHOMAS,4712410641,principal.stist@gmail.com
,,,,,
"3St.ThomasCollegeofEngineeringandTechnology,Kannur(STM)",code_set.php?code=U1RN,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=U1RN,DRSHINUMATHEWJOHN,4902401700,stthomaskannur@gmail.com
,,,,,
"4TomsCollegeofEngineeringforStartups,Kottayam(TCE)",code_set.php?code=VENF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VENF,DR.KHARIHARAN,4812545659,principal@toms.ac.in
,,,,,
"5TrinityCollegeofEngineering,Thiruvananthapuram(TCT)",code_set.php?code=VENU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VENU,DR.ARUNSURENDRAN,9495270615,principal@thetrinitycollege.in
,,,,,
"6TravancoreEngineeringCollege,Kollam(TEC)",code_set.php?code=VEVD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VEVD,-,-,-
,,,,,
"7ThejusEngineeringCollege,Thrissur(TJE)",code_set.php?code=VEpF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VEpF,DRKSATHEESHKUMAR,8943537434,thejusengg@gmail.com
,,,,,
"8TKMInstituteofTechnology,Kollam(TKI)",code_set.php?code=VEtJ,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VEtJ,PROF.DR.MOHAMEDSHAMEEMP,4742482833,principal@tkmit.ac.in
,,,,,
"9TocHInstituteofScienceandTechnology,Ernakulam(TOC)",code_set.php?code=VE9D,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VE9D,DRPREETHITHEKKATH,4842749600,principal@tistcochin.edu.in
,,,,,
"0UKFCollegeofEngineeringandTechnology,Kollam(UKP)",code_set.php?code=VUtQ,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VUtQ,DR.E.GOPALAKRISHNASARMA,4742577958,ukfindia@gmail.com
,,,,,
"1UniversalEngineeringCollege,Thrissur(UNT)",code_set.php?code=VU5U,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VU5U,DR.TPRAMACHANDRAN,4802863777,principal@uec.ac.in
,,,,,
"2VidyaAcademyofScienceandTechnology,Thiruvananthapuram(VAK)",code_set.php?code=VkFL,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VkFL,DR.TMATHAVRAJRAVIKUMAR,4702649574,principal@vidyatcklmr.ac.in
,,,,,
"3VidyaAcademyofScienceandTechnology,Thrissur(VAS)",code_set.php?code=VkFT,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VkFT,DR.SAJIC.B,4885287751,principal@vidyaacademy.ac.in
,,,,,
"4VijnanInstituteofScienceandTechnology,Ernakulam(VIT)",code_set.php?code=VklU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VklU,DRKPRASADH,4852259999,principal@visat.ac.in
,,,,,
"5ViswajyothiCollegeofEngineeringandTechnology,Ernakulam(VJC)",code_set.php?code=VkpD,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VkpD,DR.JOSEPHKUNJUPAULC,4852262211,principal@vjcet.org
,,,,,
"6ValiaKoonambaikulathammaCollegeofEngineeringandTechnology,Parippally(VKE)",code_set.php?code=VktF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VktF,DR.TGANSALAMRAJ,4702665223,vksbkt2008@gmail.com
,,,,,
"7VimalJyothiEngineeringCollege,Kannur(VML)",code_set.php?code=Vk1M,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=Vk1M,DR.BENNYJOSEPH,4602213512,bennyjoseph@vjec.ac.in
,,,,,
"8SriVellappallyNatesanCollegeofEngineering,Alappuzha(VPE)",code_set.php?code=VlBF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VlBF,DR.H.GANESAN,4792331696,svnce@yahoo.in
,,,,,
"9VedaVyasaInstituteofTechnology,Malappuram.(VVT)",code_set.php?code=VlZU,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=VlZU,DR.R.VIJAYAKUMAR,4832832157,principal@vedavyasa.org
,,,,,
"0YounusCollegeofEngineeringandTechnology,Kollam(YCE)",code_set.php?code=WUNF,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=WUNF,DR.P.SREERAJ,4742724305,info@ycet.ac.in
,,,,,
"1YounusInstituteofTechnology,Kannanalloor(YCK)",code_set.php?code=WUNL,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=WUNL,DR.PBABUAURTHERSON,4742561492,pbaurtherson@gmail.com
,,,,,
"2YounusCollegeofEngineering,Kollam(YCW)",code_set.php?code=WUNX,https://cee.kerala.gov.in/collegelist/main/code_set.php?code=WUNX,DRPRAVEENKUMARBT,4742408863,principalyce@gmai.com
